,Party Name,Total Winning,Constituency,Winning Candidate,Total Votes,Margin,State
821,Kerala Congress - KEC,1,Kasaragod(1),RAJMOHAN UNNITHAN,490659,100649,Kerala
822,Kerala Congress - KEC,1,Kannur(2),K. SUDHAKARAN,518524,108982,Kerala
823,Kerala Congress - KEC,1,Vadakara(3),SHAFI PARAMBIL,557528,114506,Kerala
824,Kerala Congress - KEC,1,Wayanad(4),RAHUL GANDHI,647445,364422,Kerala
825,Kerala Congress - KEC,1,Kozhikode(5),M. K. RAGHAVAN,520421,146176,Kerala
826,Kerala Congress - KEC,1,Palakkad(8),V K SREEKANDAN,421169,75283,Kerala
827,Kerala Congress - KEC,1,Chalakudy(11),BENNY BEHANAN,394171,63754,Kerala
828,Kerala Congress - KEC,1,Ernakulam(12),HIBI EDEN,482317,250385,Kerala
829,Kerala Congress - KEC,1,Idukki(13),ADV. DEAN KURIAKOSE,432372,133727,Kerala
830,Kerala Congress - KEC,1,Alappuzha(15),K. C VENUGOPAL,404560,63513,Kerala
831,Kerala Congress - KEC,1,Mavelikkara (16),KODIKUNNIL SURESH,369516,10868,Kerala
832,Kerala Congress - KEC,1,Pathanamthitta(17),ANTO ANTONY,367623,66119,Kerala
833,Kerala Congress - KEC,1,Attingal(19),ADV ADOOR PRAKASH,328051,684,Kerala
834,Kerala Congress - KEC,1,Thiruvananthapuram(20),SHASHI THAROOR,358155,16077,Kerala
835,Kerala Congress - KEC,1,Malappuram(6),E.T.  MOHAMMED BASHEER,644006,300118,Kerala
836,Kerala Congress - KEC,1,Ponnani(7),DR. M.P ABDUSSAMAD SAMADANI,562516,235760,Kerala
837,Kerala Congress - KEC,1,Alathur (9),K.RADHAKRISHNAN,403447,20111,Kerala
838,Kerala Congress - KEC,1,Thrissur(10),SURESH GOPI,412338,74686,Kerala
839,Kerala Congress - KEC,1,Kottayam(14),ADV K FRANCIS GEORGE,364631,87266,Kerala
840,Kerala Congress - KEC,1,Kollam(18),N K PREMACHANDRAN,443628,150302,Kerala
841,Revolutionary Socialist Party - RSP,1,Kasaragod(1),RAJMOHAN UNNITHAN,490659,100649,Kerala
842,Revolutionary Socialist Party - RSP,1,Kannur(2),K. SUDHAKARAN,518524,108982,Kerala
843,Revolutionary Socialist Party - RSP,1,Vadakara(3),SHAFI PARAMBIL,557528,114506,Kerala
